lat,lon,ts,tid,vid
49.261932373046875,-123.16825103759766,1498614448,9017966,9503
49.27484893798828,-123.13888549804688,1498614448,9017991,9568
49.28598403930664,-123.12051391601562,1498614448,9017964,9674
49.25343322753906,-123.16778564453125,1498614448,9017992,9476
49.23455047607422,-123.18588256835938,1498614448,9018032,9536
49.286983489990234,-123.12120056152344,1498614448,9018055,9577
49.201881408691406,-123.1398696899414,1498614448,9018199,9561
49.27348327636719,-123.14330291748047,1498614448,9018201,9517
49.28274917602539,-123.12361907958984,1498614448,9018208,9672
49.28670120239258,-123.12163543701172,1498614448,9018105,9705
49.28196716308594,-123.12483215332031,1498614448,9018117,9499
49.254966735839844,-123.16777038574219,1498614448,9018200,9524
49.212100982666016,-123.10565185546875,1498614448,9018730,2518
49.248634338378906,-123.10106658935547,1498614448,9018732,2564
49.268882751464844,-123.10063171386719,1498614448,9018733,2527
49.281368255615234,-123.10064697265625,1498614448,9018734,2557
49.2109489440918,-123.10134887695312,1498614448,9018729,2522
49.22548294067383,-123.10163116455078,1498614448,9018731,2529
49.245399475097656,-123.10126495361328,1498614448,9018817,2540
49.21176528930664,-123.10161590576172,1498614448,9018819,2553
49.285118103027344,-123.11215209960938,1498614448,9018892,2537
49.2634162902832,-123.10103607177734,1498614448,9018894,2544
49.24526596069336,-123.10126495361328,1498614448,9018818,2560
49.28274917602539,-123.10586547851562,1498614448,9018893,2524
49.25619888305664,-123.10123443603516,1498614448,9018895,2508
49.267982482910156,-123.14466857910156,1498614448,9019327,2209
49.282718658447266,-123.10569763183594,1498614448,9019361,2278
49.269100189208984,-123.21424865722656,1498614448,9019385,2107
49.288734436035156,-123.05388641357422,1498614448,9019391,2284
49.26808166503906,-123.14636993408203,1498614448,9019435,2264
49.2810173034668,-123.09968566894531,1498614448,9019436,2280
49.2685661315918,-123.18216705322266,1498614448,9019451,2238
49.282615661621094,-123.1178970336914,1498614448,9019452,2286
49.26679992675781,-123.24344635009766,1498614448,9019455,2202
49.283782958984375,-123.12201690673828,1498614448,9019741,2165
